   offset   mdtime  sdtime  iteration
  0.00000 -0.01850 0.02926  1
 -0.01850 -0.00482 0.02773  2
 -0.02332 -0.00091 0.02970  3
 -0.02423 -0.00041 0.02949  4
 -0.02464 -0.00040 0.02962  5
 -0.02505 -0.00039 0.02975  6
 -0.02544  0.00005 0.02999  7
 -0.02539  0.00005 0.02998  8
