file    init    last    diff   count
   1    8438   24937   16500   16500
   2   24938   41437   16500   16500
   3   41438   57937   16500   16500
   4   57938   74437   16500   16500
   5   74438   90937   16500   16500
   6   90938  107437   16500   16500
   7  107438  123937   16500   16500
   8  123938  130813    6876    6876
