    T1      sT      dT1     T2      sT2     dT2     T3      sT3     dT3     T4      sT4     dT4     rate
 36.5328  0.4161  1.7242 36.4841  0.4345  1.7136 27.7967  0.1662  1.1185 30.3185  1.0007  4.5059 0.3999_05_2314380196
 37.7223  0.2105  0.9384 37.8829  0.1908  0.8636 25.2639  0.5681  2.5528 34.3390  0.0968  0.4486 0.3999_05_2317120230
 34.3883  0.3301  1.4679 35.2157  0.1875  0.8652 18.9279  0.6451  2.8610 31.4716  0.5601  2.3712 0.3999_05_2319460264
 32.9798  0.0883  0.4318 34.8082  0.0183  0.1022 15.1886  0.2948  1.4481 27.4790  0.3214  1.4572 0.3999_05_2322200297
 32.3052  0.0403  0.1953 34.6636  0.0104  0.0641 13.1724  0.0903  0.5722 25.2009  0.1846  0.7980 0.3999_05_2400540329
 32.1811  0.0285  0.1404 34.6199  0.0052  0.0412 13.0889  0.1487  0.5875 24.4581  0.0440  0.2350 0.3999_05_2403280360
 31.8977  0.0143  0.0854 34.5659  0.0045  0.0427 12.2198  0.0693  0.3571 23.7715  0.0729  0.3174 0.3999_05_2406020392
 32.0095  0.0629  0.3296 34.5709  0.0087  0.0626 13.2493  0.4512  1.9989 23.6859  0.0568  0.3357 0.3999_05_2408360423
 33.7239  0.3047  1.3977 34.8095  0.0433  0.3128 21.1305  1.3498  5.7587 26.6468  0.6389  2.8336 0.3999_05_2411100454
 37.5958  0.9105  2.3911 37.4808  0.9041  2.3636 30.7610  1.1043  3.1662 32.4199  0.9570  2.5558 0.6599_05_2413440487
