    T1      sT      dT1     T2      sT2     dT2     T3      sT3     dT3     T4      sT4     dT4     rate
 34.1681  0.0514  0.2502 34.9107  0.0060  0.0473 20.2954  0.2778  1.2451 29.2757  0.1045  0.5432 0.3999_06_1121134491
 33.7290  0.0284  0.1740 34.8991  0.0040  0.0381 18.7187  0.1368  0.6607 28.8009  0.0955  0.4700 0.3999_06_1123474526
 33.5143  0.0057  0.0488 34.8712  0.0022  0.0259 18.1266  0.0287  0.2350 28.0514  0.0536  0.2670 0.3999_06_1202214558
 33.4313  0.0158  0.0763 34.8590  0.0029  0.0320 17.8162  0.0511  0.2289 27.7442  0.0354  0.1587 0.3999_06_1204554590
 33.3835  0.0034  0.0320 34.8476  0.0021  0.0305 17.7420  0.0240  0.1617 27.5399  0.0096  0.0549 0.3999_06_1207294622
 33.5949  0.0850  0.3967 34.8640  0.0061  0.0473 19.3067  0.5484  2.1027 27.7879  0.1088  0.5478 0.3999_06_1210034654
 34.8497  0.1724  0.8636 35.0901  0.1054  0.5219 24.3627  0.5271  2.4063 30.3182  0.3783  1.7090 0.3999_06_1212374686
 37.4926  0.3655  1.4954 37.5220  0.3716  1.5289 27.7669  0.2533  1.3947 33.6621  0.3788  1.6174 0.3999_06_1215114719
 37.7420  0.4310  1.8005 37.9654  0.4042  1.6922 24.5277  0.8371  3.5309 34.8583  0.2491  1.1078 0.3999_06_1217454752
 34.0766  0.1466  0.8133 35.0037  0.0461  0.3647 19.0735  0.2709  1.2482 30.8817  0.4710  2.0569 0.3999_06_1220194786
 33.5400  0.0284  0.1312 34.8986  0.0064  0.0427 17.9620  0.0742  0.3479 28.4004  0.1402  0.6180 0.3999_06_1222534818
