    T1      sT      dT1     T2      sT2     dT2     T3      sT3     dT3     T4      sT4     dT4     rate
 33.5375  0.0590  0.2655 34.8840  0.0044  0.0351 17.6856  0.2454  1.1673 27.4290  0.1095  0.5875 0.3999_05_2520520089
 33.0377  0.0532  0.2472 34.8193  0.0100  0.0595 15.7865  0.2031  0.9033 26.9255  0.1272  0.5661 0.3999_05_2523260125
 32.5468  0.0466  0.2014 34.7183  0.0105  0.0595 13.9319  0.1533  0.6363 25.5779  0.1275  0.5646 0.3999_05_2602255840
 32.2343  0.0428  0.1740 34.6472  0.0077  0.0458 13.0417  0.1603  0.6821 24.6420  0.0977  0.4532 0.3999_05_2604590330
 32.1760  0.0186  0.0931 34.6239  0.0030  0.0320 13.3240  0.0731  0.5798 24.1560  0.0265  0.1190 0.3999_05_2607454469
 33.9915  0.1882  0.8072 34.8710  0.0222  0.1266 21.5180  0.6353  3.2516 27.6787  0.5330  2.2293 0.3999_05_2611371934
 35.2125  0.1682  0.7721 35.3232  0.1533  0.6561 25.0433  0.3219  1.4908 31.2688  0.2896  1.3519 0.3999_05_2614102419
 35.9055  0.1832  0.7553 36.0894  0.1697  0.7156 24.0599  0.4469  1.8646 32.8215  0.0915  0.4379 0.3999_05_2617063629
 34.2839  0.0948  0.4517 34.9941  0.0096  0.0839 20.4510  0.2651  1.2268 30.9929  0.2868  1.2115 0.3999_05_2619394114
 33.8673  0.0229  0.1068 34.9469  0.0045  0.0351 19.2714  0.0794  0.3601 29.2172  0.1042  0.4608 0.3999_05_2622274210
 33.7586  0.0129  0.0687 34.9270  0.0024  0.0275 18.9400  0.0776  0.3723 28.6754  0.0342  0.1907 0.3999_05_2701004689
 33.3551  0.0780  0.3433 34.8738  0.0117  0.0687 16.9290  0.2918  1.3275 27.8996  0.1646  0.7050 0.3999_05_2703344722
 32.7878  0.0284  0.1297 34.7657  0.0065  0.0458 15.2827  0.0592  0.2594 26.2578  0.1140  0.4837 0.3999_05_2706382291
 33.0928  0.1122  0.5234 34.7916  0.0143  0.0778 17.4559  0.6452  3.1097 26.2882  0.1609  0.7294 0.3999_05_2709112767
 35.8254  0.6414  2.6581 36.0158  0.5376  2.1027 27.0582  1.2493  4.7119 30.3811  0.8002  3.4317 0.3999_05_2711452798
 39.5004  0.4374  0.3952 39.4964  0.4884  0.4288 30.4052  1.1166  0.9354 34.7486  0.6419  0.5554 2.0499_05_2714192832
