file    init    last    diff   count
   1    9493   25992   16500   16500
   2   25993   42858   16866   16500
   3   42859   59358   16500   16500
   4   59359   75858   16500   16500
   5   75859   92652   16794   16500
   6   92653  109442   16790   16500
   7  109443  125942   16500   16500
   8  125943  131782    5840    4975
