file    init    last    diff   count
   1    2985   19484   16500   16500
   2   19485   35984   16500   16500
   3   35985   52484   16500   16500
   4   52485   68984   16500   16500
   5   68985   85484   16500   16500
   6   85485  101984   16500   16500
   7  101985  114141   12157   12157
