9493 73728.290  147.323  1.236  97.340  36.295  36.441  23.727  34.628  -0.000  252.478  -0.001 
9494 73728.850  146.916  1.235  94.000  36.295  36.450  23.724  34.634  -0.000  252.422  -0.001 
9495 73729.410  146.872  1.235  90.638  36.295  36.441  23.730  34.625  0.001  252.422  -0.000 
9496 73729.970  146.356  1.236  87.254  36.282  36.447  23.724  34.628  -0.000  252.521  0.000 
9497 73730.530  145.916  1.233  83.892  36.301  36.441  23.734  34.616  -0.000  252.620  -0.000 
9498 73731.090  145.498  1.236  80.541  36.288  36.450  23.721  34.634  -0.000  252.549  0.000 
9499 73731.650  145.147  1.235  77.157  36.298  36.441  23.730  34.622  -0.000  252.549  0.000 
9500 73732.210  144.762  1.236  73.818  36.292  36.441  23.718  34.644  0.000  252.577  0.001 
9501 73732.770  144.191  1.236  70.356  36.292  36.441  23.730  34.622  -0.000  252.563  -0.001 
9502 73733.330  143.795  1.236  67.038  36.292  36.444  23.718  34.634  -0.000  252.535  0.000 
9503 73733.890  143.169  1.238  63.632  36.307  36.444  23.724  34.634  -0.000  252.521  -0.001 
9504 73734.450  142.410  1.238  60.281  36.301  36.447  23.724  34.631  0.001  252.507  0.000 
9505 73735.010  141.828  1.240  56.908  36.288  36.441  23.721  34.625  0.001  252.478  0.001 
9506 73735.570  141.235  1.237  53.480  36.295  36.444  23.724  34.637  0.000  252.591  0.000 
9507 73736.130  140.125  1.235  50.151  36.295  36.441  23.724  34.641  -0.000  252.634  -0.001 
9508 73736.690  139.180  1.239  46.734  36.288  36.444  23.724  34.634  -0.000  252.634  0.001 
9509 73737.250  137.949  1.236  43.372  36.298  36.450  23.724  34.634  -0.001  252.493  -0.001 
9510 73737.810  136.751  1.236  40.010  36.298  36.441  23.734  34.628  0.000  252.634  -0.000 
9511 73738.370  135.322  1.237  36.615  36.298  36.447  23.721  34.631  -0.000  252.690  0.000 
9512 73738.930  133.432  1.235  33.275  36.295  36.447  23.721  34.628  -0.000  252.648  0.001 
9513 73739.490  131.795  1.238  29.880  36.298  36.447  23.724  34.628  -0.001  252.634  0.001 
9514 73740.050  129.817  1.237  26.507  36.295  36.438  23.727  34.628  -0.000  252.690  0.000 
9515 73740.610  128.223  1.237  23.167  36.292  36.447  23.727  34.625  0.000  252.620  -0.001 
9516 73741.170  126.070  1.236  19.728  36.295  36.441  23.724  34.628  0.000  252.662  -0.000 
9517 73741.730  124.443  1.240  16.399  36.295  36.447  23.721  34.625  0.000  252.719  0.000 
9518 73742.290  122.883  1.241  13.037  36.298  36.444  23.721  34.628  -0.000  252.676  0.000 
9519 73742.851  122.190  1.241  9.664  36.301  36.447  23.718  34.641  -0.000  252.704  0.001 
9520 73743.411  122.212  1.244  6.302  36.295  36.438  23.724  34.634  -0.000  252.648  0.001 
9521 73743.971  122.311  1.240  2.907  36.298  36.447  23.730  34.634  -0.000  252.803  0.000 
9522 73744.531  136.685  1.239  39.555  36.298  36.447  23.721  34.628  0.000  252.704  0.000 
9523 73745.091  180.971  1.245  319.580  36.298  36.456  23.724  34.637  0.001  252.747  -0.000 
9524 73745.651  180.971  1.254  352.922  36.298  36.450  23.727  34.637  0.000  252.704  0.000 
9525 73746.211  180.971  1.273  349.582  36.301  36.441  23.718  34.634  0.000  252.719  0.000 
9526 73746.771  180.971  1.267  346.253  36.292  36.438  23.730  34.634  -0.001  252.676  -0.002 
9527 73747.331  180.971  1.259  342.880  36.298  36.441  23.727  34.619  0.001  252.648  0.001 
9528 73747.891  180.971  1.248  339.496  36.292  36.447  23.721  34.631  -0.000  252.648  -0.001 
9529 73748.451  180.971  1.252  336.112  36.304  36.447  23.730  34.634  0.000  252.747  -0.001 
9530 73749.011  180.971  1.265  332.761  36.285  36.450  23.724  34.631  0.000  252.662  0.001 
9531 73749.571  180.971  1.261  329.355  36.298  36.444  23.721  34.641  0.000  252.733  0.000 
9532 73750.131  180.971  1.243  326.060  36.292  36.444  23.718  34.637  -0.000  252.719  0.000 
9533 73750.691  180.971  1.239  322.609  36.298  36.447  23.730  34.637  0.000  252.690  -0.000 
9534 73751.251  180.971  1.241  319.292  36.292  36.450  23.727  34.641  0.000  252.662  -0.000 
9535 73751.811  180.971  1.276  315.908  36.298  36.444  23.727  34.637  0.000  252.690  -0.000 
9536 73752.371  180.971  1.255  312.546  36.292  36.456  23.724  34.637  0.000  252.719  -0.005 
9537 73752.931  180.971  1.238  309.150  36.298  36.444  23.724  34.634  0.001  252.606  -0.000 
9538 73753.491  180.971  1.240  305.777  36.295  36.456  23.718  34.650  0.000  252.704  0.000 
9539 73754.051  180.971  1.242  302.471  36.298  36.444  23.721  34.634  -0.001  252.719  0.000 
9540 73754.611  180.971  1.242  299.054  36.295  36.459  23.715  34.631  0.000  252.747  -0.001 
9541 73755.171  180.971  1.237  295.670  36.288  36.444  23.721  34.637  -0.000  252.789  -0.000 
9542 73755.731  180.971  1.241  292.285  36.295  36.447  23.712  34.634  -0.000  252.832  0.000 
9543 73756.291  180.971  1.241  288.924  36.292  36.447  23.724  34.631  0.001  252.832  -0.007 
9544 73756.851  180.971  1.252  285.584  36.301  36.450  23.712  34.637  0.000  252.916  0.001 
9545 73757.411  180.971  1.247  282.178  36.292  36.441  23.721  34.634  -0.001  252.916  -0.001 
9546 73757.971  180.971  1.237  278.838  36.292  36.438  23.718  34.641  0.000  252.987  0.001 
9547 73758.531  180.971  1.249  275.454  36.288  36.444  23.718  34.631  -0.000  253.015  0.000 
9548 73759.091  180.971  1.259  272.048  36.295  36.444  23.715  34.644  0.000  253.072  0.000 
9549 73759.651  180.971  1.258  268.686  36.292  36.453  23.715  34.634  -0.001  253.072  6.950 
9550 73760.211  180.971  2.212  265.235  36.288  36.444  23.712  34.641  0.000  253.157  6.952 
9551 73760.771  180.971  2.206  261.984  36.292  36.444  23.712  34.637  0.000  253.157  6.950 
9552 73761.331  180.971  2.203  258.533  36.298  36.441  23.715  34.644  0.001  253.213  6.954 
9553 73761.891  180.971  2.205  255.205  36.301  36.453  23.703  34.637  -0.000  253.270  -0.000 
9554 73762.451  180.971  1.248  251.798  36.301  36.453  23.709  34.641  -0.001  253.298  -0.002 
9555 73763.011  180.971  1.252  248.492  36.285  36.450  23.712  34.644  0.000  253.255  0.000 
9556 73763.571  180.971  1.252  245.152  36.292  36.450  23.718  34.641  0.000  253.227  -0.001 
9557 73764.131  180.971  1.252  241.735  36.295  36.456  23.706  34.644  0.000  253.241  0.001 
9558 73764.691  180.971  1.240  238.362  36.301  36.450  23.709  34.644  0.000  253.326  0.001 
9559 73765.251  180.971  1.249  235.022  36.292  36.447  23.712  34.641  -0.000  253.326  -0.000 
9560 73765.811  180.971  1.249  231.594  36.301  36.444  23.709  34.644  0.001  253.284  0.001 
9561 73766.371  180.971  1.262  228.298  36.301  36.453  23.703  34.641  -0.001  253.298  -0.001 
9562 73766.931  180.971  1.253  224.848  36.295  36.447  23.709  34.631  0.000  253.185  -0.001 
9563 73767.491  180.971  1.252  221.497  36.295  36.456  23.703  34.644  0.000  253.227  0.001 
9564 73768.051  180.971  1.242  218.113  36.292  36.447  23.712  34.631  0.000  253.142  -0.002 
9565 73768.611  180.971  1.252  214.762  36.301  36.444  23.703  34.647  -0.000  253.227  0.000 
9566 73769.171  180.971  1.266  211.411  36.295  36.450  23.706  34.644  0.000  253.142  0.003 
9567 73769.731  180.257  1.241  207.983  36.295  36.450  23.706  34.659  -0.001  253.128  0.000 
9568 73770.291  178.850  1.238  204.676  36.295  36.450  23.703  34.637  -0.000  253.185  0.000 
9569 73770.852  177.411  1.235  201.259  36.298  36.453  23.709  34.641  0.000  253.128  -0.001 
9570 73771.412  176.081  1.232  197.930  36.304  36.453  23.706  34.637  0.000  253.171  0.000 
9571 73771.972  174.773  1.233  194.580  36.295  36.447  23.694  34.634  0.000  253.185  0.001 
9572 73772.532  173.554  1.233  191.229  36.295  36.453  23.703  34.637  0.000  253.072  -0.000 
9573 73773.092  172.103  1.231  187.867  36.298  36.453  23.709  34.644  0.000  253.128  0.001 
9574 73773.652  170.762  1.234  184.461  36.292  36.453  23.709  34.665  -0.001  253.015  0.001 
9575 73774.212  169.554  1.232  181.110  36.295  36.447  23.706  34.641  0.000  253.044  0.000 
9576 73774.772  168.048  1.234  177.759  36.292  36.450  23.706  34.647  -0.001  253.171  0.000 
9577 73775.332  166.784  1.234  174.331  36.310  36.453  23.706  34.634  0.000  252.931  -0.002 
9578 73775.892  165.301  1.235  171.046  36.292  36.453  23.706  34.641  -0.000  253.015  0.001 
9579 73776.452  164.312  1.234  167.573  36.304  36.444  23.709  34.637  0.001  253.072  -0.002 
9580 73777.012  162.466  1.236  164.245  36.295  36.444  23.688  34.650  0.000  253.185  -0.000 
9581 73777.572  161.444  1.234  160.839  36.298  36.444  23.709  34.644  0.001  253.171  0.001 
9582 73778.132  159.993  1.233  157.521  36.295  36.453  23.700  34.647  -0.001  253.199  -0.001 
9583 73778.692  158.685  1.232  154.126  36.298  36.453  23.715  34.647  -0.000  253.213  -0.001 
9584 73779.252  157.949  1.233  150.708  36.295  36.456  23.697  34.653  -0.000  253.270  -0.001 
9585 73779.812  156.641  1.234  147.391  36.288  36.456  23.703  34.644  0.001  253.227  -0.001 
9586 73780.372  155.268  1.237  143.996  36.301  36.450  23.700  34.647  -0.000  253.241  0.000 
9587 73780.932  154.345  1.236  140.656  36.292  36.432  23.700  34.650  0.000  253.142  -0.001 
9588 73781.492  153.158  1.239  137.261  36.301  36.447  23.694  34.647  -0.000  253.114  0.001 
9589 73782.052  152.433  1.238  133.910  36.292  36.453  23.706  34.647  -0.001  253.001  -0.001 
9590 73782.612  151.312  1.237  130.559  36.298  36.453  23.706  34.650  0.000  253.044  0.003 
9591 73783.172  150.685  1.236  127.153  36.292  36.456  23.712  34.647  -0.001  253.058  0.000 
9592 73783.732  149.729  1.236  123.802  36.295  36.447  23.706  34.647  0.000  253.058  -0.000 
9593 73784.292  149.345  1.239  120.429  36.298  36.453  23.709  34.641  -0.001  253.072  0.001 
9594 73784.852  148.861  1.239  117.012  36.301  36.453  23.706  34.641  0.001  253.114  0.000 
9595 73785.412  148.520  1.240  113.694  36.288  36.450  23.697  34.650  -0.000  253.100  -0.000 
9596 73785.972  148.015  1.237  110.221  36.307  36.453  23.697  34.647  0.000  253.001  0.000 
