   offset   mdtime  sdtime  iteration
  0.00000 -0.02859 0.02152  1
 -0.02859 -0.00895 0.01854  2
 -0.03754 -0.00327 0.02371  3
 -0.04081 -0.00122 0.02505  4
 -0.04203 -0.00012 0.02602  5
 -0.04215 -0.00014 0.02606  6
