file    init    last    diff   count
   1   41231   57730   16500   16500
   2   57731   74230   16500   16500
   3   74231   90730   16500   16500
   4   90731  107230   16500   16500
   5  107231  123730   16500   16500
   6  123731  138673   14943   14943
