 345155  5728.69 308.179081  60.97   5.1836  1.3122  87.126971 -71.010614 -0.001  27.9081 161.0568  4.9916 307.7813
 345156  5729.25 304.728418  60.97   5.1020  1.3106  87.125761 -71.012764  0.001  27.9081 162.1501  4.9916 307.7783
 345157  5729.81 301.399805  60.97   5.0247  1.3091  87.124551 -71.014914  0.000  27.8799 163.1843  4.9916 307.7783
 345158  5730.37 298.037906  60.97   5.2367  1.3132  87.123341 -71.017065  0.000  27.8799 164.2014  4.9916 307.7752
 345159  5730.93 294.587244  60.97   4.9517  1.3076  87.122131 -71.019215 -0.002  27.9363 165.2070  4.9916 307.7813
 345160  5731.49 291.314108  60.97   4.8392  1.3054  87.120921 -71.021366 -0.001  27.9081 166.1143  4.9916 307.7783
 345161  5732.05 287.896732  60.97   4.9011  1.3067  87.119710 -71.023516  0.000  27.9222 166.9999  4.9916 307.7783
 345162  5732.61 284.557023  60.97   4.7421  1.3035  87.118501 -71.025664  0.000  27.9363 167.7886  4.9916 307.7752
 345163  5733.17 281.228410  60.97   4.7465  1.3036  87.117290 -71.027814 -0.001  27.9081 168.4810  4.9916 307.7783
 345164  5733.73 277.777748  60.97   4.7532  1.3038  87.116079 -71.029965  0.002  27.8375 169.0791  4.9916 307.7722
 345165  5734.29 274.438040  60.97   4.7619  1.3039  87.114868 -71.032115 -0.001  27.8799 169.5205  4.9916 307.7783
 345166  5734.85 271.098331  60.97   4.7861  1.3044  87.113656 -71.034266  0.000  27.9363 169.8075  4.9916 307.7844
 345167  5735.41 267.669860  60.97   4.7266  1.3032  87.112445 -71.036416  0.000  27.9222 169.9271  4.9916 307.7752
 345168  5735.97 264.341247  60.97   4.5720  1.3002  87.111233 -71.038566 -0.001  27.8657 169.8672  4.9916 307.7752
 345169  5736.53 260.990443  60.97   4.6229  1.3012  87.110021 -71.040717 -0.001  27.9222 169.6351  4.9916 307.7783
 345170  5737.09 257.595258  60.97   4.7044  1.3028  87.108809 -71.042867  0.000  27.8940 169.2362  4.9916 307.7813
 345171  5737.65 254.299931  60.97   4.7310  1.3033  87.107597 -71.045018  0.001  27.8940 168.7089  4.9916 307.7783
 345172  5738.21 250.893650  60.97   4.9452  1.3075  87.106384 -71.047168  0.001  27.8940 168.0399  4.9916 307.7875
 345173  5738.77 247.509560  60.97   5.0005  1.3086  87.105172 -71.049318  0.000  27.8940 167.2717  4.9916 307.7722
 345174  5739.33 244.158757  60.97   4.7929  1.3045  87.103959 -71.051469 -0.001  27.8940 166.4286  4.9916 307.7783
 345175  5739.89 240.819048  60.97   4.4992  1.2988  87.102746 -71.053619  0.000  27.9081 165.5233  4.9916 307.7783
