	file_name	filetime	filespan	frametime	framespan	N_frames	dtime
0	99_05_1920284829	72490.09		0.00		73728.29		9240.33		16500.00		-1238.20	
1	99_05_1942096.932	260.97		12932.68		521.38		9500.74		16965.00		-260.41	
2	99_05_2001401492	6013.92		0.00		6013.92		9240.33		16500.00		0.00	
3	99_05_2004141424	15254.24		0.00		15254.24		9240.33		16500.00		0.00	
4	99_05_2034064.788	220.65		71366.41		440.74		9460.42		16893.00		-220.09	
5	99_05_2033840.78	218.41		71364.17		436.26		9458.18		16889.00		-217.85	
6	99_05_2012014226	43302.26		0.00		43302.26		9240.33		16500.00		0.00	
7	99_05_2090041.93	540.42		43638.16		1080.28		3325.96		5939.00		-539.86	
