   offset   mdtime  sdtime  iteration
  0.00000  0.00158 0.00311  1
  0.00158  0.00112 0.00375  2
  0.00271  0.00104 0.00424  3
  0.00374  0.00056 0.00522  4
  0.00431  0.00058 0.00548  5
