   offset   mdtime  sdtime  iteration
  0.00000  0.04494 0.03714  1
  0.04494  0.01872 0.02579  2
  0.06367  0.00831 0.03336  3
  0.07197  0.00252 0.03799  4
  0.07449  0.00205 0.03902  5
  0.07655  0.00097 0.04043  6
  0.07751  0.00027 0.04125  7
  0.07778  0.00027 0.04129  8
