   offset   mdtime  sdtime  iteration
  0.00000 -0.02884 0.03378  1
 -0.02884 -0.01157 0.03104  2
 -0.04040 -0.00372 0.03345  3
 -0.04412 -0.00178 0.03457  4
 -0.04591  0.00022 0.03457  5
 -0.04569  0.00015 0.03458  6
 -0.04554  0.00012 0.03450  7
 -0.04542  0.00015 0.03448  8
