   offset   mdtime  sdtime  iteration
  0.00000 -0.05625 0.03895  1
 -0.05625 -0.00636 0.03937  2
 -0.06261 -0.00157 0.03946  3
 -0.06418  0.00073 0.04050  4
 -0.06345  0.00024 0.04053  5
 -0.06320 -0.00049 0.03993  6
