   offset   mdtime  sdtime  iteration
  0.00000 -0.03615 0.03683  1
 -0.03615 -0.01320 0.03067  2
 -0.04934 -0.00545 0.03382  3
 -0.05480 -0.00147 0.03593  4
 -0.05627 -0.00105 0.03699  5
 -0.05732 -0.00058 0.03707  6
 -0.05790  0.00068 0.03755  7
