file    init    last    diff   count
   1   17022   33521   16500   16500
   2   33522   50021   16500   16500
   3   50022   66521   16500   16500
   4   66522   83021   16500   16500
   5   83022   99521   16500   16500
   6   99522  116021   16500   16500
   7  116022  132521   16500   16500
   8  132522  143726   11205   11205
