file    init    last    diff   count
   1    3272   19771   16500   16500
   2   19772   36668   16897   16500
   3   36669   53168   16500   16500
   4   53169   69668   16500   16500
   5   69669   86168   16500   16500
   6   86169  102668   16500   16500
   7  102669  119168   16500   16500
   8  119169  134798   15630   15630
