   offset   mdtime  sdtime  iteration
  0.00000 -0.05906 0.04676  1
 -0.05906 -0.01414 0.04436  2
 -0.07321 -0.00346 0.04946  3
 -0.07666 -0.00096 0.05024  4
 -0.07762 -0.00096 0.05061  5
 -0.07858 -0.00004 0.05076  6
 -0.07862  0.00002 0.05085  7
 -0.07860  0.00002 0.05085  8
