file    init    last    diff   count
   1   16535   33034   16500   16500
   2   33035   49783   16749   16500
   3   49784   66283   16500   16500
   4   66284   82783   16500   16500
   5   82784   99283   16500   16500
   6   99284  101010    1727    1727
