   offset   mdtime  sdtime  iteration
  0.00000 -0.03594 0.03720  1
 -0.03594 -0.00900 0.03689  2
 -0.04493 -0.00176 0.03861  3
 -0.04669 -0.00131 0.03935  4
 -0.04800 -0.00043 0.03948  5
 -0.04844 -0.00043 0.03962  6
 -0.04886  0.00068 0.03912  7
