file    init    last    diff   count
   1   14332   30831   16500   16500
   2   30832   47331   16500   16500
   3   47332   63831   16500   16500
   4   63832   80331   16500   16500
   5   80332   96831   16500   16500
   6   96832  108063   11232   11232
