   offset   mdtime  sdtime  iteration
  0.00000 -0.02487 0.02395  1
 -0.02487 -0.01105 0.01834  2
 -0.03592 -0.00375 0.02198  3
 -0.03967 -0.00203 0.02372  4
 -0.04170 -0.00121 0.02467  5
 -0.04291  0.00026 0.02563  6
 -0.04265  0.00005 0.02526  7
 -0.04260  0.00007 0.02524  8
