file    init    last    diff   count
   1   16344   32843   16500   16500
   2   32844   50546   17703   16500
   3   50547   67046   16500   16500
   4   67047   83546   16500   16500
   5   83547  100046   16500   16500
   6  100047  118149   18103   16500
   7  118150  131363   13214   13085
