   offset   mdtime  sdtime  iteration
  0.00000 -0.02977 0.02961  1
 -0.02977 -0.01184 0.02331  2
 -0.04161 -0.00518 0.02692  3
 -0.04679 -0.00300 0.02943  4
 -0.04979 -0.00075 0.03087  5
 -0.05054 -0.00072 0.03139  6
 -0.05126  0.00043 0.03193  7
 -0.05083 -0.00063 0.03168  8
