file    init    last    diff   count
   1   10560   27059   16500   16500
   2   27060   45995   18936   16500
   3   45996   62495   16500   16500
   4   62496   78995   16500   16500
   5   78996   95495   16500   16500
   6   95496  111995   16500   16500
   7  111996  119047    7052    7052
