   offset   mdtime  sdtime  iteration
  0.00000 -0.04161 0.06079  1
 -0.04161 -0.02132 0.05011  2
 -0.06293 -0.01040 0.05004  3
 -0.07333 -0.00489 0.05069  4
 -0.07822 -0.00258 0.05190  5
 -0.08080 -0.00160 0.05194  6
 -0.08239 -0.00097 0.05191  7
 -0.08336  0.00074 0.05301  8
 -0.08262 -0.00093 0.05193  9
