file    init    last    diff   count
   1    9001   25500   16500   16500
   2   25501   42000   16500   16500
   3   42001   58500   16500   16500
   4   58501   75000   16500   16500
   5   75001   91500   16500   16500
   6   91501  108000   16500   16500
   7  108001  124500   16500   16500
   8  124501  141000   16500   16500
   9  141001  157500   16500   16500
  10  157501  167459    9959    9959
