file    init    last    diff   count
   1    5477   21976   16500   16500
   2   21977   38476   16500   16500
   3   38477   54976   16500   16500
   4   54977   71476   16500   16500
   5   71477   89296   17820   16500
   6   89297  105796   16500   16500
   7  105797  128719   22923   16500
   8  128720  145219   16500   16500
   9  145220  161719   16500   16500
  10  161720  179043   17324   16500
  11  179044  195543   16500   16500
  12  195544  213113   17570   16500
  13  213114  229613   16500   16500
  14  229614  246113   16500   16500
  15  246114  262613   16500   16500
  16  262614  279113   16500   16500
  17  279114  295613   16500   16500
  18  295614  312113   16500   16500
  19  312114  328613   16500   16500
  20  328614  345113   16500   16500
  21  345114  361613   16500   16500
  22  361614  370233    8620    8620
