123731 53437.730  170.751  1.202  185.126  38.571  38.400  32.303  32.138  0.000  250.275  -0.000 
123732 53438.290  169.444  1.197  181.753  38.556  38.416  32.297  32.147  -0.000  250.303  -0.000 
123733 53438.850  168.246  1.197  178.425  38.565  38.409  32.294  32.147  0.001  250.261  0.000 
123734 53439.410  166.630  1.198  174.952  38.565  38.412  32.281  32.150  -0.001  250.190  0.001 
123735 53439.970  165.356  1.196  171.657  38.565  38.406  32.275  32.141  0.001  250.133  0.000 
123736 53440.530  164.290  1.196  168.228  38.571  38.419  32.266  32.147  0.000  250.148  -0.000 
123737 53441.090  162.597  1.197  164.855  38.559  38.416  32.260  32.153  -0.000  250.176  -0.000 
123738 53441.650  161.488  1.197  161.482  38.574  38.409  32.257  32.156  -0.000  250.148  0.001 
123739 53442.210  160.411  1.195  158.142  38.562  38.416  32.248  32.153  -0.000  250.077  -0.000 
123740 53442.770  159.059  1.195  154.769  38.571  38.416  32.230  32.138  0.001  250.020  0.001 
123741 53443.330  157.817  1.194  151.352  38.568  38.409  32.236  32.153  -0.000  250.063  0.001 
123742 53443.890  156.531  1.194  148.012  38.571  38.412  32.230  32.144  -0.001  250.049  0.000 
123743 53444.450  155.477  1.195  144.617  38.565  38.419  32.220  32.150  -0.001  250.105  0.001 
123744 53445.010  154.422  1.193  141.266  38.574  38.412  32.205  32.147  0.000  250.063  0.000 
123745 53445.570  153.202  1.196  137.882  38.577  38.412  32.199  32.153  0.000  250.077  -0.001 
123746 53446.130  152.246  1.195  134.509  38.565  38.419  32.193  32.156  -0.001  250.020  -0.001 
123747 53446.690  151.575  1.194  131.147  38.580  38.419  32.193  32.156  0.001  249.936  0.000 
123748 53447.250  150.652  1.196  127.774  38.574  38.416  32.178  32.159  0.000  249.992  0.001 
123749 53447.810  149.718  1.197  124.412  38.577  38.412  32.178  32.150  -0.000  250.049  -0.001 
123750 53448.370  148.982  1.198  121.051  38.568  38.419  32.187  32.159  0.000  250.035  -0.001 
123751 53448.930  148.630  1.196  117.655  38.574  38.419  32.175  32.153  0.000  250.077  -0.000 
123752 53449.490  148.059  1.197  114.293  38.577  38.425  32.162  32.162  -0.000  250.162  0.001 
123753 53450.050  147.916  1.197  110.898  38.574  38.419  32.162  32.150  -0.001  250.176  0.000 
123754 53450.610  147.509  1.196  107.525  38.577  38.409  32.150  32.162  0.000  250.345  0.000 
