99_05_18	20234390	18	 5	1999
99_05_18	22574423	18	 5	1999
99_05_19	02003613	19	 5	1999
99_05_19	04343645	19	 5	1999
99_05_19	07083677	19	 5	1999
99_05_19	09423708	19	 5	1999
99_05_19	12163740	19	 5	1999
99_05_19	14503772	19	 5	1999
99_05_19	20284829	19	 5	1999
99_05_19	23070902	19	 5	1999
99_05_20	01401392	20	 5	1999
99_05_20	04141424	20	 5	1999
99_05_20	06515465	20	 5	1999
99_05_20	09283739	20	 5	1999
99_05_20	12014226	20	 5	1999
99_05_20	14444247	20	 5	1999
99_05_20	20450241	20	 5	1999
99_05_20	23190273	20	 5	1999
99_05_21	01530304	21	 5	1999
99_05_21	04270335	21	 5	1999
99_05_21	07141820	21	 5	1999
99_05_21	09472320	21	 5	1999
99_05_21	13221586	21	 5	1999
99_05_21	15552079	21	 5	1999
99_05_21	18292117	21	 5	1999
99_05_21	21115831	21	 5	1999
99_05_21	23450324	21	 5	1999
99_05_22	02295819	22	 5	1999
99_05_22	05030309	22	 5	1999
99_05_22	07370343	22	 5	1999
99_05_22	10110370	22	 5	1999
99_05_22	12450401	22	 5	1999
99_05_22	15190433	22	 5	1999
99_05_22	17530466	22	 5	1999
99_05_22	20270500	22	 5	1999
99_05_22	23010532	22	 5	1999
99_05_23	01350563	23	 5	1999
99_05_23	04090595	23	 5	1999
99_05_23	14380196	23	 5	1999
99_05_23	17120230	23	 5	1999
99_05_23	19460264	23	 5	1999
99_05_23	22200297	23	 5	1999
99_05_24	00540329	24	 5	1999
99_05_24	03280360	24	 5	1999
99_05_24	06020392	24	 5	1999
99_05_24	08360423	24	 5	1999
99_05_24	11100454	24	 5	1999
99_05_24	13440487	24	 5	1999
99_05_24	21004921	24	 5	1999
99_05_24	23344956	24	 5	1999
99_05_25	02084988	25	 5	1999
99_05_25	04425019	25	 5	1999
99_05_25	07165051	25	 5	1999
99_05_25	09505082	25	 5	1999
99_05_25	12245114	25	 5	1999
99_05_25	14585146	25	 5	1999
99_05_25	20520089	25	 5	1999
99_05_25	23260125	25	 5	1999
99_05_26	02255832	26	 5	1999
99_05_26	04590330	26	 5	1999
99_05_26	07454460	26	 5	1999
99_05_26	11371926	26	 5	1999
99_05_26	14102419	26	 5	1999
99_05_26	17063620	26	 5	1999
99_05_26	19394114	26	 5	1999
99_05_26	22274201	26	 5	1999
99_05_27	01004689	27	 5	1999
99_05_27	03344722	27	 5	1999
99_05_27	06382282	27	 5	1999
99_05_27	09112767	27	 5	1999
99_05_27	11452798	27	 5	1999
99_05_27	14192832	27	 5	1999
99_05_28	02564794	28	 5	1999
99_05_28	05304827	28	 5	1999
99_05_28	09131237	28	 5	1999
99_05_28	11461730	28	 5	1999
99_05_28	14231119	28	 5	1999
99_05_28	16561612	28	 5	1999
99_05_28	19301645	28	 5	1999
99_05_28	22041678	28	 5	1999
99_05_29	00381710	29	 5	1999
99_05_29	03121742	29	 5	1999
99_05_29	05461773	29	 5	1999
99_05_29	08201802	29	 5	1999
99_05_29	10541835	29	 5	1999
99_05_29	13281867	29	 5	1999
99_05_29	16021900	29	 5	1999
99_05_29	21005726	29	 5	1999
99_05_29	23345760	29	 5	1999
99_05_30	02085792	30	 5	1999
99_05_30	04425825	30	 5	1999
