99_05_20	20450241	20	 5	1999
99_05_20	23190273	20	 5	1999
99_05_21	01530304	21	 5	1999
99_05_21	04270335	21	 5	1999
99_05_21	07141820	21	 5	1999
99_05_21	09472320	21	 5	1999
99_05_21	13221586	21	 5	1999
99_05_21	15552079	21	 5	1999
99_05_21	18292117	21	 5	1999
99_05_21	21115831	21	 5	1999
99_05_21	23450324	21	 5	1999
99_05_22	02295819	22	 5	1999
99_05_22	05030309	22	 5	1999
99_05_22	07370343	22	 5	1999
99_05_22	10110370	22	 5	1999
99_05_22	12450401	22	 5	1999
99_05_22	15190433	22	 5	1999
99_05_22	17530466	22	 5	1999
99_05_22	20270500	22	 5	1999
99_05_22	23010532	22	 5	1999
99_05_23	01350563	23	 5	1999
99_05_23	04090595	23	 5	1999
